City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
100,Arraial Do Cabo,BR,-22.97,-42.03,73.4,78,75,13.87,broken clouds
101,Saint Pete Beach,US,27.73,-82.74,84.0,1,95,3.0,overcast clouds
102,Quatre Cocos,MU,-20.21,57.76,73.99,78,20,5.82,few clouds
103,Naryan-Mar,RU,67.67,53.09,34.86,97,100,4.03,overcast clouds
104,Kodiak,US,57.79,-152.41,33.8,80,1,8.05,clear sky
105,Ostrovnoy,RU,68.05,39.51,34.47,93,100,10.69,light rain
106,Lompoc,US,34.64,-120.46,61.0,77,40,17.22,scattered clouds
107,Cockburn Town,TC,21.46,-71.14,81.28,74,96,17.76,light rain
108,Itarema,BR,-2.92,-39.92,86.54,56,26,19.35,scattered clouds
109,Lavrentiya,RU,65.58,-171.0,35.13,86,95,29.48,overcast clouds
110,Bubaque,GW,11.28,-15.83,84.24,76,14,12.97,few clouds
111,Lyuban,BY,52.8,28.0,46.65,92,100,9.82,overcast clouds
112,Port Lincoln,AU,-34.73,135.87,53.85,80,10,11.83,clear sky
113,Teguldet,RU,57.31,88.17,34.07,96,100,8.19,overcast clouds
114,Kismayo,SO,-0.36,42.55,80.31,79,53,11.45,broken clouds
115,Isangel,VU,-19.55,169.27,76.69,80,5,3.87,clear sky
116,Sao Filipe,CV,14.9,-24.5,77.92,82,80,6.82,broken clouds
117,San Ignacio,BZ,17.16,-89.07,78.8,88,90,6.93,light rain
118,Aksarka,RU,66.56,67.8,20.07,98,88,1.39,overcast clouds
119,Akdepe,TM,42.06,59.38,48.2,45,64,6.93,haze
120,Breyten,ZA,-26.3,29.99,64.26,43,18,4.54,few clouds
121,Ahipara,NZ,-35.17,173.17,60.67,94,38,5.7,scattered clouds
122,Busselton,AU,-33.65,115.33,59.0,46,1,12.71,clear sky
123,Porto Novo,BJ,6.5,2.6,86.0,74,40,12.75,scattered clouds
124,Beringovskiy,RU,63.05,179.32,30.74,89,74,16.8,broken clouds
125,Lichuan,CN,30.3,108.85,47.75,87,50,2.08,scattered clouds
126,Mapiripan,CO,2.89,-72.13,87.21,66,35,6.42,light rain
127,Hluti,SZ,-27.22,31.62,87.8,43,51,4.7,broken clouds
128,Freeport,US,40.66,-73.58,69.01,59,1,11.41,clear sky
129,Nantucket,US,41.28,-70.1,62.6,82,1,13.87,clear sky
130,Lebu,CL,-37.62,-73.65,56.64,65,0,20.31,clear sky
131,New Norfolk,AU,-42.78,147.06,44.01,70,28,1.99,scattered clouds
132,Kamina,CD,-8.74,24.99,70.0,78,72,4.81,broken clouds
133,Verkhoyansk,RU,67.54,133.38,-25.94,84,14,0.76,few clouds
134,San Quintin,MX,30.48,-115.95,74.79,52,27,7.74,scattered clouds
135,Kawalu,ID,-7.38,108.21,73.24,93,100,2.3,light rain
136,Cabo San Lucas,MX,22.89,-109.91,84.99,69,5,6.93,clear sky
137,Neiafu,TO,-18.65,-173.98,75.2,83,75,4.7,broken clouds
138,Chongwe,ZM,-15.33,28.68,79.38,29,8,5.64,clear sky
139,Cao Bang,VN,22.67,106.25,64.96,82,19,3.49,few clouds
140,Kasongo-Lunda,CD,-6.47,16.82,70.99,92,82,1.97,broken clouds
141,Torbay,CA,47.67,-52.73,52.0,87,75,25.28,broken clouds
142,Stokmarknes,NO,68.56,14.91,46.4,65,75,26.4,shower rain
143,Bambous Virieux,MU,-20.34,57.76,73.99,78,20,5.82,few clouds
144,Belmonte,BR,-15.86,-38.88,73.4,94,75,10.29,light rain
145,Revelstoke,CA,50.98,-118.2,37.4,62,1,4.7,clear sky
146,Vicksburg,US,32.35,-90.88,75.2,53,1,5.82,clear sky
147,Naron,ES,43.52,-8.15,57.99,93,100,3.36,overcast clouds
148,Victoria,HK,22.29,114.16,77.0,60,37,9.17,scattered clouds
149,Khatanga,RU,71.97,102.5,-5.39,91,95,2.48,overcast clouds
150,Moree,AU,-29.47,149.85,55.4,62,0,1.12,clear sky
151,Okoneshnikovo,RU,54.84,75.08,42.26,90,96,8.84,overcast clouds
152,Thompson,CA,55.74,-97.86,8.6,84,90,3.36,light snow
153,Sikandra,IN,26.37,79.65,68.31,25,0,3.13,clear sky
154,Fuzhou,CN,26.06,119.31,69.8,83,75,22.37,broken clouds
155,Northam,GB,51.03,-4.22,51.01,86,1,4.0,clear sky
156,Chokurdakh,RU,70.63,147.92,-3.96,93,25,5.99,scattered clouds
